filename,width,height,class,xmin,ymin,xmax,ymax
IMG_3735.JPG,816,612,can,256,314,458,612
IMG_3735.JPG,816,612,can,250,101,485,370
IMG_3735.JPG,816,612,straws,278,1,593,185
IMG_3735.JPG,816,612,compost_cup,476,2,758,142
IMG_3735.JPG,816,612,can,474,124,648,406
IMG_3735.JPG,816,612,can,254,1,426,115
IMG_3678.JPG,816,612,can,366,86,528,275
IMG_3678.JPG,816,612,can,248,152,403,285
IMG_3678.JPG,816,612,milk_carton,131,291,316,504
IMG_3678.JPG,816,612,milk_carton,291,284,514,512
IMG_3678.JPG,816,612,can,263,426,530,592
IMG_4168.JPG,816,612,bowl,210,155,631,612
IMG_3687.JPG,816,612,ms togo container,69,1,728,210
IMG_3687.JPG,816,612,chop sticks,540,199,581,611
IMG_3687.JPG,816,612,paper bowls,390,164,816,612
IMG_3687.JPG,816,612,napkins,146,139,349,378
IMG_3968.JPG,816,612,can,31,303,297,458
IMG_3968.JPG,816,612,can,120,227,258,296
IMG_4020.JPG,816,612,milk_carton,614,3,816,160
IMG_4020.JPG,816,612,milk cover,561,108,752,262
IMG_4020.JPG,816,612,can,369,145,644,610
IMG_4151.JPG,816,612,ms coffee cup,377,256,631,540
IMG_4151.JPG,816,612,ms salad bowl,403,1,816,357
IMG_3551.JPG,816,612,napkins,335,365,551,501
IMG_3551.JPG,816,612,napkins,423,277,731,550
IMG_3551.JPG,816,612,plate,1,23,323,404
IMG_3551.JPG,816,612,compost_cup,240,1,609,172
IMG_3551.JPG,816,612,napkins,502,1,815,111
IMG_3551.JPG,816,612,napkins,1,221,242,381
IMG_3551.JPG,816,612,compost_cup,458,501,606,602
IMG_3551.JPG,816,612,ms coffee cup,446,504,561,601
IMG_3551.JPG,816,612,plate,1,358,391,460
IMG_4055.JPG,816,612,ms salad bowl,152,205,647,612
IMG_4055.JPG,816,612,ms coffee cup,1,1,313,125
IMG_4060.JPG,816,612,ms coffee cup,24,493,263,609
IMG_4060.JPG,816,612,ms salad bowl,162,11,594,549
IMG_3574.JPG,816,612,tea bag,365,178,480,311
IMG_3574.JPG,816,612,utensils,119,298,467,522
IMG_3574.JPG,816,612,utensils,99,295,440,389
IMG_3574.JPG,816,612,bowl,279,32,724,463
IMG_3574.JPG,816,612,wrappers,563,446,691,535
IMG_3574.JPG,816,612,napkins,193,176,304,284
IMG_3321.JPG,816,612,plate,41,56,532,574
IMG_3321.JPG,816,612,utensils,27,300,450,391
IMG_3321.JPG,816,612,ms salad bowl,449,176,636,570
IMG_3321.JPG,816,612,ms coffee cup,658,204,816,472
IMG_3321.JPG,816,612,plate,376,1,629,321
IMG_3321.JPG,816,612,wrappers,1,2,174,262
IMG_3321.JPG,816,612,compost_cup,597,14,816,227
IMG_3321.JPG,816,612,utensils,502,1,655,334
IMG_3321.JPG,816,612,napkins,593,201,760,477
IMG_3199.JPG,816,612,ms coffee cup,320,48,607,433
IMG_3199.JPG,816,612,napkins,2,282,339,612
